dataset,image_id,complexity
coco-rem,000000042204,0.84237486
coco-rem,000000042526,0.327131
coco-rem,000000043226,0.4675847
coco-rem,000000043393,0.3204872
coco-rem,000000043611,0.3063863
coco-rem,000000043933,0.5012468
coco-rem,000000044178,0.6310734
coco-rem,000000044488,0.56779677
coco-rem,000000044500,0.6273683
coco-rem,000000044523,0.49172044
coco-rem,000000045479,0.5259963
coco-rem,000000045840,0.55989283
coco-rem,000000046085,0.540687
coco-rem,000000046809,0.43411595
coco-rem,000000047898,0.48254752
coco-rem,000000047952,0.44745052
coco-rem,000000048719,0.52745044
coco-rem,000000049095,0.55656976
coco-rem,000000049175,0.3274572
coco-rem,000000049369,0.5113943
coco-rem,000000049819,0.44277468
coco-rem,000000050025,0.4613866
coco-rem,000000050204,0.5225095
coco-rem,000000050960,0.5299553
coco-rem,000000052086,0.545044
coco-rem,000000052461,0.51119506
coco-rem,000000052827,0.37766713
coco-rem,000000053361,0.43704617
coco-rem,000000053587,0.24511859
coco-rem,000000054335,0.45425534
coco-rem,000000054532,0.5945608
coco-rem,000000055873,0.46063694
coco-rem,000000056193,0.59406865
coco-rem,000000057892,0.37592897
coco-rem,000000058102,0.49593168
coco-rem,000000058232,0.6091135
coco-rem,000000059252,0.64062953
coco-rem,000000059584,0.4932399
coco-rem,000000061409,0.4927072
coco-rem,000000061660,0.59146106
coco-rem,000000061831,0.47910303
coco-rem,000000061899,0.49483597
coco-rem,000000061945,0.6506169
coco-rem,000000061951,0.782891
coco-rem,000000062017,0.4751754
coco-rem,000000062543,0.4289436
coco-rem,000000063140,0.447322
coco-rem,000000063676,0.51909363
coco-rem,000000064342,0.518748
coco-rem,000000065353,0.4184103
coco-rem,000000065518,0.5566878
coco-rem,000000065900,0.55282104
coco-rem,000000065955,0.32948732
coco-rem,000000066520,0.60122335
coco-rem,000000067207,0.52621704
coco-rem,000000067558,0.41183957
coco-rem,000000067577,0.33499992
coco-rem,000000067776,0.44507536
coco-rem,000000068003,0.6516025
coco-rem,000000068235,0.4814288
coco-rem,000000068381,0.4836304
coco-rem,000000068866,0.6785707
coco-rem,000000069311,0.28137487
coco-rem,000000069587,0.3563458
coco-rem,000000069978,0.6285049
coco-rem,000000070288,0.38860708
coco-rem,000000070336,0.5353271
coco-rem,000000070724,0.40550277
coco-rem,000000070829,0.54852766
coco-rem,000000070863,0.48511577
coco-rem,000000071214,0.42168024
coco-rem,000000072018,0.51275414
coco-rem,000000073016,0.6859211
coco-rem,000000073626,0.92524457
coco-rem,000000073634,0.47092158
coco-rem,000000074060,0.5344351
coco-rem,000000074127,0.72455394
coco-rem,000000074407,0.306641
coco-rem,000000074901,0.49624166
coco-rem,000000075270,0.56699336
coco-rem,000000075522,0.54690474
coco-rem,000000075630,0.51215166
coco-rem,000000075932,0.4721128
coco-rem,000000075982,0.39818114
coco-rem,000000076001,0.5234405
coco-rem,000000079992,0.4370548
coco-rem,000000080044,0.5508832
coco-rem,000000080892,0.40678844
coco-rem,000000081200,0.6077336
coco-rem,000000081315,0.50691295
coco-rem,000000081826,0.40150508
coco-rem,000000082275,0.44267452
coco-rem,000000082787,0.5816677
coco-rem,000000082957,0.4363022
coco-rem,000000083045,0.45476973
coco-rem,000000083507,0.45025945
coco-rem,000000083716,0.5949965
coco-rem,000000084454,0.50780404
coco-rem,000000084840,0.5651139
coco-rem,000000084881,0.41237405
coco-rem,000000084996,0.562016
coco-rem,000000085187,0.69610476
coco-rem,000000085802,0.39055446
coco-rem,000000085956,0.59631616
coco-rem,000000086139,0.41176885
coco-rem,000000086292,0.6985244
coco-rem,000000087105,0.487994
coco-rem,000000087249,0.5887415
coco-rem,000000087509,0.56828433
coco-rem,000000088162,0.54778665
coco-rem,000000088540,0.5960133
coco-rem,000000089725,0.57599586
coco-rem,000000090255,0.43759534
coco-rem,000000090343,0.50104547
coco-rem,000000091366,0.5739234
coco-rem,000000091948,0.5660168
coco-rem,000000091969,0.43068266
coco-rem,000000092219,0.3845884
coco-rem,000000092464,0.5434857
coco-rem,000000092847,0.54609203
coco-rem,000000093604,0.590487
coco-rem,000000094103,0.5133627
coco-rem,000000094920,0.5445105
coco-rem,000000095422,0.5170785
coco-rem,000000096070,0.40013787
coco-rem,000000096582,0.44187883
coco-rem,000000097021,0.5376789
coco-rem,000000097270,0.35414186
coco-rem,000000097365,0.42078042
coco-rem,000000097696,0.50189704
coco-rem,000000097873,0.46172455
coco-rem,000000097951,0.55654687
coco-rem,000000098904,0.60103637
coco-rem,000000099389,0.5580515
coco-rem,000000099443,0.5116839
coco-rem,000000100519,0.47955763
coco-rem,000000100560,0.4467753
coco-rem,000000100827,0.6866495
coco-rem,000000100959,0.4496528
coco-rem,000000101573,0.50907356
coco-rem,000000102037,0.8365016
coco-rem,000000102056,0.6098162
coco-rem,000000102330,0.4652588
coco-rem,000000102634,0.5067567
coco-rem,000000103697,0.4733521
coco-rem,000000103746,0.5887641
coco-rem,000000103804,0.4481632
coco-rem,000000103877,0.36864647
coco-rem,000000104211,0.39811233
coco-rem,000000104337,0.77275586
coco-rem,000000104594,0.4503394
coco-rem,000000104756,0.4952459
coco-rem,000000105027,0.44318146
coco-rem,000000105468,0.5659525
coco-rem,000000105768,0.7124934
coco-rem,000000106043,0.40863422
coco-rem,000000106199,0.41282862
coco-rem,000000106287,0.39394578
coco-rem,000000106813,0.5354859
coco-rem,000000106895,0.46099693
coco-rem,000000107216,0.50241494
coco-rem,000000107516,0.5325967
coco-rem,000000107519,0.5623614
coco-rem,000000107797,0.6216462
coco-rem,000000108392,0.7534733
coco-rem,000000108557,0.5766681
coco-rem,000000108701,0.6200601
coco-rem,000000108803,0.5418455
coco-rem,000000108862,0.22524206
coco-rem,000000109558,0.29220858
coco-rem,000000110642,0.5394421
coco-rem,000000110759,0.53609246
coco-rem,000000110794,0.6793962
coco-rem,000000111180,0.39802712
coco-rem,000000111245,0.37235397
coco-rem,000000111591,0.4510304
coco-rem,000000111824,0.51590896
coco-rem,000000113556,0.71126187
coco-rem,000000113898,0.5505646
coco-rem,000000113985,0.5317708
coco-rem,000000114173,0.41894057
coco-rem,000000115973,0.54620004
coco-rem,000000116031,0.5032705
coco-rem,000000116155,0.702151
coco-rem,000000116601,0.44061527
coco-rem,000000116872,0.34119338
coco-rem,000000117644,0.59817445
coco-rem,000000118277,0.2635889
coco-rem,000000118330,0.6694635
coco-rem,000000118436,0.4339559
coco-rem,000000118471,0.55175287
coco-rem,000000118477,0.45691857
coco-rem,000000118748,0.45853135
coco-rem,000000118775,0.5758604
coco-rem,000000119414,0.4409375
coco-rem,000000119787,0.5070057
coco-rem,000000120285,0.5931263
coco-rem,000000120380,0.5469908
coco-rem,000000120509,0.32767266
coco-rem,000000120524,0.42478904
coco-rem,000000121112,0.45978007
coco-rem,000000121349,0.50019217
coco-rem,000000121420,0.34911466
coco-rem,000000121690,0.39385632
coco-rem,000000121693,0.5969086
coco-rem,000000121718,0.5422202
coco-rem,000000122302,0.85632783
coco-rem,000000122357,0.6780233
coco-rem,000000122537,0.39470905
coco-rem,000000123330,0.57949716
coco-rem,000000123901,0.54288775
coco-rem,000000124002,0.3447751
coco-rem,000000124390,0.4370894
coco-rem,000000124627,0.7895758
coco-rem,000000124924,0.5086484
coco-rem,000000126229,0.5155485
coco-rem,000000126230,0.39830774
coco-rem,000000127153,0.46872133
coco-rem,000000127235,0.68623173
coco-rem,000000127259,0.7260876
coco-rem,000000127558,0.55129457
coco-rem,000000127945,0.5558122
coco-rem,000000128553,0.52269006
coco-rem,000000129334,0.56555307
coco-rem,000000129699,0.5146802
coco-rem,000000130538,0.5133055
coco-rem,000000131084,0.49739575
coco-rem,000000131364,0.57289916
coco-rem,000000131427,0.5700137
coco-rem,000000131494,0.54225004
coco-rem,000000131825,0.464912
coco-rem,000000131902,0.63245094
coco-rem,000000132067,0.56842285
coco-rem,000000132212,0.24045962
coco-rem,000000132612,0.5101668
coco-rem,000000132621,0.40811068
coco-rem,000000133237,0.46426842
coco-rem,000000133486,0.58414674
coco-rem,000000133609,0.57951444
coco-rem,000000134697,0.310955
coco-rem,000000135797,0.5053669
coco-rem,000000136415,0.47685853
coco-rem,000000136493,0.42531955
coco-rem,000000136683,0.6069073
coco-rem,000000137301,0.48034948
coco-rem,000000137666,0.56187636
coco-rem,000000140352,0.5639879
coco-rem,000000140473,0.3363902
coco-rem,000000140507,0.37879783
coco-rem,000000141587,0.53062546
coco-rem,000000141862,0.28255278
coco-rem,000000142680,0.44892734
coco-rem,000000143054,0.23416094
coco-rem,000000143445,0.55718684
coco-rem,000000143578,0.31022647
coco-rem,000000143929,0.5048354
coco-rem,000000144372,0.4111364
coco-rem,000000144935,0.2928618
coco-rem,000000144983,0.39094695
coco-rem,000000145163,0.46045077
coco-rem,000000145211,0.48953584
coco-rem,000000145488,0.47528473
coco-rem,000000145699,0.34375918
coco-rem,000000147591,0.47529173
coco-rem,000000147753,0.5921509
coco-rem,000000148409,0.3667798
coco-rem,000000149123,0.5850593
coco-rem,000000149364,0.5576168
coco-rem,000000149566,0.53501445
coco-rem,000000150212,0.53136706
coco-rem,000000150372,0.59154177
coco-rem,000000150444,0.5524561
coco-rem,000000150717,0.5541437
coco-rem,000000151375,0.4030388
coco-rem,000000151492,0.44958192
coco-rem,000000151577,0.5443599
coco-rem,000000151892,0.5260196
coco-rem,000000152633,0.4779978
coco-rem,000000153136,0.44566935
coco-rem,000000153734,0.6603971
coco-rem,000000154301,0.5300842
coco-rem,000000154713,0.46341887
coco-rem,000000154727,0.47330117
coco-rem,000000155270,0.6238132
coco-rem,000000155285,0.5215861
coco-rem,000000155386,0.53914005
coco-rem,000000155496,0.62630695
coco-rem,000000155861,0.41773638
coco-rem,000000156100,0.51632166
coco-rem,000000156284,0.3764816
coco-rem,000000157519,0.4768124
coco-rem,000000157804,0.5276722
coco-rem,000000157938,0.45878547
coco-rem,000000157960,0.49935055
coco-rem,000000158718,0.50623614
coco-rem,000000158887,0.3918593
coco-rem,000000158922,0.44953674
coco-rem,000000159582,0.60685843
coco-rem,000000160101,0.5848412
coco-rem,000000160139,0.46928236
coco-rem,000000160815,0.62715685
coco-rem,000000160866,0.4697757
coco-rem,000000160967,0.47428325
coco-rem,000000161060,0.5266284
coco-rem,000000161543,0.38536578
coco-rem,000000161603,0.57651174
coco-rem,000000161738,0.7656933
coco-rem,000000161897,0.6274532
coco-rem,000000162887,0.4806964
coco-rem,000000163138,0.66031885
coco-rem,000000163759,0.43147147
coco-rem,000000163985,0.48653862
coco-rem,000000164224,0.5006876
coco-rem,000000164330,0.59260935
coco-rem,000000164499,0.518279
coco-rem,000000165455,0.609737
coco-rem,000000165550,0.37157995
coco-rem,000000165750,0.3717832
coco-rem,000000165936,0.40413314
coco-rem,000000166828,0.41910902
coco-rem,000000169228,0.4725905
coco-rem,000000169634,0.46025708
coco-rem,000000169885,0.3999482
coco-rem,000000170000,0.44570705
coco-rem,000000170513,0.60084635
coco-rem,000000170601,0.45774034
coco-rem,000000171453,0.5194952
coco-rem,000000171536,0.6373097
coco-rem,000000172439,0.8667481
coco-rem,000000172492,0.2876049
coco-rem,000000172886,0.51073456
coco-rem,000000172989,0.3959483
coco-rem,000000173229,0.25737312
coco-rem,000000173447,0.38539472
coco-rem,000000175334,0.23731565
coco-rem,000000175437,0.73539245
coco-rem,000000175513,0.25663346
coco-rem,000000175830,0.47001016
coco-rem,000000176298,0.4275065
coco-rem,000000177323,0.42984688
coco-rem,000000178258,0.7424157
coco-rem,000000178566,0.54819405
coco-rem,000000178901,0.76409835
coco-rem,000000179011,0.50232255
coco-rem,000000179477,0.4256037
coco-rem,000000179571,0.5063709
coco-rem,000000180341,0.68448603
coco-rem,000000180779,0.45497555
coco-rem,000000180966,0.35047218
coco-rem,000000181084,0.6959214
coco-rem,000000181223,0.7225613
coco-rem,000000181851,0.54999995
coco-rem,000000181876,0.51279277
coco-rem,000000182401,0.54896134
coco-rem,000000182527,0.49221942
coco-rem,000000183007,0.4840748
coco-rem,000000183445,0.54855233
coco-rem,000000184161,0.5464288
coco-rem,000000184320,0.4258552
coco-rem,000000184431,0.6073485
coco-rem,000000184889,0.5416861
coco-rem,000000185002,0.6411417
coco-rem,000000185025,0.7040621
coco-rem,000000185041,0.490105
coco-rem,000000185091,0.5285393
coco-rem,000000185229,0.651634
coco-rem,000000185555,0.698129
coco-rem,000000186844,0.3574573
coco-rem,000000186968,0.5122424
coco-rem,000000187181,0.6061627
coco-rem,000000187286,0.66568655
coco-rem,000000187822,0.7517992
coco-rem,000000188068,0.537616
coco-rem,000000188532,0.5946231
coco-rem,000000189129,0.44493636
coco-rem,000000190277,0.39806128
coco-rem,000000190537,0.5711364
coco-rem,000000190700,0.38921046
coco-rem,000000190722,0.51203173
coco-rem,000000191225,0.6674906
coco-rem,000000191280,0.60151035
coco-rem,000000191283,0.553526
coco-rem,000000191327,0.59122103
coco-rem,000000191690,0.50391996
coco-rem,000000191716,0.42066437
coco-rem,000000193255,0.49267802
coco-rem,000000193444,0.34026876
coco-rem,000000193972,0.44006097
coco-rem,000000194774,0.6867408
coco-rem,000000194921,0.58231515
coco-rem,000000197616,0.49577147
coco-rem,000000198312,0.5372445
coco-rem,000000198508,0.5854344
coco-rem,000000198557,0.5928592
coco-rem,000000198596,0.6266298
coco-rem,000000198724,0.45960855
coco-rem,000000198978,0.41434252
coco-rem,000000199688,0.57227457
coco-rem,000000200735,0.5867236
coco-rem,000000201375,0.32771
coco-rem,000000202131,0.4349662
coco-rem,000000202372,0.73295456
coco-rem,000000202582,0.34258297
coco-rem,000000202842,0.46609852
coco-rem,000000202918,0.49869224
coco-rem,000000202990,0.6614035
coco-rem,000000203481,0.3961171
coco-rem,000000205344,0.5905864
coco-rem,000000205967,0.51518774
coco-rem,000000206068,0.48979053
coco-rem,000000206800,0.30299398
coco-rem,000000207264,0.38695112
coco-rem,000000207740,0.3433639
coco-rem,000000207763,0.49774286
coco-rem,000000207805,0.5412318
coco-rem,000000207995,0.4452554
coco-rem,000000208144,0.47248563
coco-rem,000000208288,0.79262114
coco-rem,000000209133,0.31138578
coco-rem,000000209286,0.42475873
coco-rem,000000209292,0.5294168
coco-rem,000000209428,0.55220026
coco-rem,000000209574,0.5749011
coco-rem,000000209904,0.68360925
coco-rem,000000210322,0.37888637
coco-rem,000000210549,0.40408206
coco-rem,000000210845,0.7644967
coco-rem,000000210997,0.3247243
coco-rem,000000211158,0.5026334
coco-rem,000000211172,0.33473536
coco-rem,000000211186,0.52410585
coco-rem,000000211217,0.7979834
coco-rem,000000211593,0.48556942
coco-rem,000000211722,0.44031
coco-rem,000000212733,0.48008972
coco-rem,000000212757,0.41554323
coco-rem,000000213268,0.516359
coco-rem,000000213694,0.49871022
coco-rem,000000214742,0.6992299
coco-rem,000000214834,0.5150528
coco-rem,000000215092,0.47718757
coco-rem,000000215196,0.5119102
coco-rem,000000215215,0.35123184
coco-rem,000000215376,0.41023076
coco-rem,000000215407,0.5792991
coco-rem,000000216364,0.33901387
coco-rem,000000217054,0.41886827
coco-rem,000000217303,0.55929923
coco-rem,000000217487,0.77682436
coco-rem,000000217938,0.54650676
coco-rem,000000218762,0.39699253
coco-rem,000000219179,0.37725168
coco-rem,000000220187,0.46299928
coco-rem,000000221044,0.5575614
coco-rem,000000221317,0.2758026
coco-rem,000000221536,0.51357555
coco-rem,000000222753,0.5574901
coco-rem,000000223020,0.69716614
coco-rem,000000223481,0.61936724
coco-rem,000000223992,0.5925912
coco-rem,000000224595,0.477748
coco-rem,000000225281,0.7225258
coco-rem,000000225490,0.4389554
coco-rem,000000225989,0.54918075
coco-rem,000000226136,0.50986123
coco-rem,000000226324,0.49975294
coco-rem,000000226494,0.36626184
coco-rem,000000227134,0.45078242
coco-rem,000000227422,0.3407167
coco-rem,000000227734,0.5866145
coco-rem,000000228261,0.69947034
coco-rem,000000228463,0.5056849
coco-rem,000000228681,0.49135032
coco-rem,000000229529,0.32910314
coco-rem,000000229539,0.26960802
coco-rem,000000230057,0.4689097
coco-rem,000000230548,0.422851
coco-rem,000000230554,0.58685076
coco-rem,000000230991,0.53684694
coco-rem,000000231267,0.45998386
coco-rem,000000231362,0.44128945
coco-rem,000000231460,0.5005856
coco-rem,000000231466,0.5741793
coco-rem,000000232001,0.5300482
coco-rem,000000232279,0.61936367
coco-rem,000000232819,0.42194486
coco-rem,000000233365,0.4610634
coco-rem,000000233994,0.26407355
coco-rem,000000234091,0.56300855
coco-rem,000000234728,0.5108692
coco-rem,000000235547,0.42183453
coco-rem,000000235683,0.73834777
coco-rem,000000236176,0.63310516
coco-rem,000000236282,0.68693024
coco-rem,000000236630,0.48431662
coco-rem,000000237203,0.36133394
coco-rem,000000237372,0.47954172
coco-rem,000000237632,0.5164244
coco-rem,000000238448,0.5480752
coco-rem,000000238858,0.45955467
coco-rem,000000239458,0.24401775
coco-rem,000000240243,0.32480058
coco-rem,000000240586,0.57160676
coco-rem,000000240952,0.6286496
coco-rem,000000241390,0.36375707
coco-rem,000000241402,0.57128876
coco-rem,000000241836,0.39854774
coco-rem,000000241916,0.61255807
coco-rem,000000242745,0.51746815
coco-rem,000000242828,0.39603144
coco-rem,000000243153,0.5512446
coco-rem,000000243171,0.4011796
coco-rem,000000244283,0.64899087
coco-rem,000000244317,0.49949363
coco-rem,000000244844,0.5603305
coco-rem,000000245505,0.4597378
coco-rem,000000246007,0.6108197
coco-rem,000000246014,0.75369775
coco-rem,000000246342,0.4581063
coco-rem,000000246540,0.43874776
coco-rem,000000246656,0.31660303
coco-rem,000000246815,0.3154654
coco-rem,000000247909,0.7368892
coco-rem,000000247945,0.6409646
coco-rem,000000248167,0.52756035
coco-rem,000000248771,0.4816567
coco-rem,000000249226,0.7201051
coco-rem,000000249273,0.48534343
coco-rem,000000250194,0.760214
coco-rem,000000250578,0.517847
coco-rem,000000250790,0.40691775
coco-rem,000000250877,0.49025178
coco-rem,000000251232,0.6511949
coco-rem,000000251242,0.66472185
coco-rem,000000252608,0.476972
coco-rem,000000253095,0.61248356
coco-rem,000000253170,0.4409505
coco-rem,000000253212,0.49480656
coco-rem,000000253474,0.71939707
coco-rem,000000253693,0.4699436
coco-rem,000000255093,0.50578326
coco-rem,000000255665,0.487952
coco-rem,000000255741,0.6673635
coco-rem,000000256031,0.43097812
coco-rem,000000256101,0.3656955
coco-rem,000000256284,0.45196325
coco-rem,000000256550,0.37144473
coco-rem,000000256648,0.47666994
coco-rem,000000258017,0.49421966
coco-rem,000000258089,0.4761199
coco-rem,000000258136,0.5871912
coco-rem,000000258327,0.62824005
coco-rem,000000258676,0.6463015
coco-rem,000000258792,0.46125948
coco-rem,000000258837,0.4809653
coco-rem,000000259491,0.466875
coco-rem,000000259884,0.6933306
coco-rem,000000260129,0.648991
coco-rem,000000260230,0.5714774
coco-rem,000000261026,0.60287905
coco-rem,000000261585,0.66471344
coco-rem,000000262359,0.60240936
coco-rem,000000263008,0.45668057
coco-rem,000000263668,0.6288799
coco-rem,000000264502,0.4481227
coco-rem,000000264619,0.293262
coco-rem,000000264930,0.45895344
coco-rem,000000264962,0.5894466
coco-rem,000000265253,0.61702716
coco-rem,000000265677,0.7234082
coco-rem,000000266442,0.5410892
coco-rem,000000266518,0.37675357
coco-rem,000000266533,0.5648906
coco-rem,000000267152,0.66138387
coco-rem,000000267284,0.5624012
coco-rem,000000267691,0.47116393
coco-rem,000000268579,0.482523
coco-rem,000000268739,0.55583304
coco-rem,000000268927,0.4639952
coco-rem,000000269033,0.44812578
coco-rem,000000269168,0.54521954
coco-rem,000000269306,0.42861652
coco-rem,000000269325,0.49011177
coco-rem,000000269346,0.7864897
coco-rem,000000269843,0.4787183
coco-rem,000000270330,0.5097236
coco-rem,000000270586,0.4756083
coco-rem,000000271310,0.4349734
coco-rem,000000271364,0.29074812
coco-rem,000000271461,0.48603138
coco-rem,000000271490,0.34352595
coco-rem,000000271495,0.6105012
coco-rem,000000271897,0.51224965
coco-rem,000000271943,0.44361985
coco-rem,000000272487,0.38361117
coco-rem,000000273600,0.42323682
coco-rem,000000273808,0.61711645
coco-rem,000000274753,0.5376122
coco-rem,000000275450,0.4401999
coco-rem,000000275631,0.6533052
coco-rem,000000275657,0.48800132
coco-rem,000000275930,0.47135007
coco-rem,000000276169,0.40788314
coco-rem,000000277089,0.6107142
coco-rem,000000279373,0.52022684
coco-rem,000000280087,0.37516987
coco-rem,000000280814,0.54547024
coco-rem,000000281210,0.22977899
coco-rem,000000281431,0.45187157
coco-rem,000000281679,0.69772637
coco-rem,000000283874,0.6963528
coco-rem,000000284324,0.44225574
coco-rem,000000284333,0.33147094
coco-rem,000000284366,0.4192484
coco-rem,000000284386,0.4615379
coco-rem,000000285457,0.5229596
coco-rem,000000285603,0.62732357
coco-rem,000000286348,0.47281983
coco-rem,000000286450,0.5162529
coco-rem,000000286760,0.44390368
coco-rem,000000287228,0.52400184
coco-rem,000000287235,0.5799135
coco-rem,000000288114,0.35191226
coco-rem,000000288219,0.26858923
coco-rem,000000288724,0.54258597
coco-rem,000000288906,0.77776885
coco-rem,000000289245,0.40269828
coco-rem,000000289510,0.58719265
coco-rem,000000290282,0.43253684
coco-rem,000000290379,0.6694008
coco-rem,000000290400,0.45818987
coco-rem,000000291788,0.38858274
coco-rem,000000291898,0.58143497
coco-rem,000000292227,0.4888129
coco-rem,000000292257,0.5947632
coco-rem,000000292901,0.47551826
coco-rem,000000293072,0.5651511
coco-rem,000000293165,0.65883464
coco-rem,000000293946,0.18470094
coco-rem,000000294943,0.50343096
coco-rem,000000295269,0.62784445
coco-rem,000000295334,0.5858231
coco-rem,000000295655,0.63251245
coco-rem,000000295823,0.39477623
coco-rem,000000297175,0.40436772
coco-rem,000000297220,0.36184275
coco-rem,000000297273,0.794613
coco-rem,000000297370,0.51401186
coco-rem,000000298004,0.5338272
coco-rem,000000298067,0.5181273
coco-rem,000000298225,0.42030695
coco-rem,000000298405,0.6120507
coco-rem,000000298540,0.5664402
coco-rem,000000298657,0.5424019
coco-rem,000000299764,0.6622434
coco-rem,000000300501,0.5408028
coco-rem,000000300782,0.5309109
coco-rem,000000300786,0.7837489
coco-rem,000000301110,0.70549214
coco-rem,000000301950,0.53362155
coco-rem,000000301965,0.5009552
coco-rem,000000301977,0.74689823
coco-rem,000000302489,0.5706423
coco-rem,000000303520,0.6173772
coco-rem,000000304523,0.5126318
coco-rem,000000304530,0.7851271
coco-rem,000000304789,0.4691673
coco-rem,000000305093,0.5543265
coco-rem,000000305501,0.51284707
coco-rem,000000306178,0.3718091
coco-rem,000000306947,0.3337698
coco-rem,000000307272,0.43118832
coco-rem,000000307583,0.3593944
coco-rem,000000307757,0.5624833
coco-rem,000000310390,0.5066429
coco-rem,000000310538,0.6557607
coco-rem,000000310553,0.60366166
coco-rem,000000310633,0.46533215
coco-rem,000000310772,0.6630191
coco-rem,000000310906,0.59021133
coco-rem,000000313465,0.51267564
coco-rem,000000313872,0.53064823
coco-rem,000000314082,0.47035077
coco-rem,000000314188,0.375991
coco-rem,000000314693,0.5115305
coco-rem,000000315062,0.47738558
coco-rem,000000315487,0.28749081
coco-rem,000000315868,0.5450558
coco-rem,000000317130,0.53297603
coco-rem,000000317595,0.5617552
coco-rem,000000317935,0.36846474
coco-rem,000000318200,0.6185488
coco-rem,000000318240,0.3998356
coco-rem,000000318386,0.39006385
coco-rem,000000318637,0.5838532
coco-rem,000000319031,0.49554363
coco-rem,000000319142,0.3861174
coco-rem,000000319494,0.34813264
coco-rem,000000319591,0.48567322
coco-rem,000000319690,0.6201961
coco-rem,000000320137,0.5800195
coco-rem,000000320374,0.5959637
coco-rem,000000321935,0.5811233
coco-rem,000000322094,0.45645988
coco-rem,000000322222,0.44222492
coco-rem,000000323599,0.39485434
coco-rem,000000323827,0.7046111
coco-rem,000000324052,0.5486868
coco-rem,000000324497,0.53868335
coco-rem,000000324962,0.46099874
coco-rem,000000325220,0.7935838
coco-rem,000000325328,0.5616433
coco-rem,000000325371,0.40540478
