dataset,image_id,count,log_count
coco-rem,000000049819,3,1.3862943611198906
coco-rem,000000050025,7,2.0794415416798357
coco-rem,000000050204,13,2.6390573296152584
coco-rem,000000050960,11,2.4849066497880004
coco-rem,000000052086,7,2.0794415416798357
coco-rem,000000052461,5,1.791759469228055
coco-rem,000000052827,5,1.791759469228055
coco-rem,000000053361,12,2.5649493574615367
coco-rem,000000053587,18,2.9444389791664403
coco-rem,000000054335,3,1.3862943611198906
coco-rem,000000054532,10,2.3978952727983707
coco-rem,000000055873,29,3.4011973816621555
coco-rem,000000056193,4,1.6094379124341003
coco-rem,000000057892,4,1.6094379124341003
coco-rem,000000058102,8,2.197224577336219
coco-rem,000000058232,27,3.332204510175204
coco-rem,000000059252,22,3.1354942159291497
coco-rem,000000059584,4,1.6094379124341003
coco-rem,000000061409,10,2.3978952727983707
coco-rem,000000061660,3,1.3862943611198906
coco-rem,000000061831,4,1.6094379124341003
coco-rem,000000061899,40,3.7135720667043075
coco-rem,000000061945,4,1.6094379124341003
coco-rem,000000061951,18,2.9444389791664403
coco-rem,000000062017,1,0.6931471805599453
coco-rem,000000062543,12,2.5649493574615367
coco-rem,000000063140,3,1.3862943611198906
coco-rem,000000063676,9,2.3025850929940455
coco-rem,000000064342,12,2.5649493574615367
coco-rem,000000065353,6,1.9459101490553132
coco-rem,000000065518,18,2.9444389791664403
coco-rem,000000065900,19,2.995732273553991
coco-rem,000000065955,19,2.995732273553991
coco-rem,000000066520,8,2.197224577336219
coco-rem,000000067207,12,2.5649493574615367
coco-rem,000000067558,3,1.3862943611198906
coco-rem,000000067577,5,1.791759469228055
coco-rem,000000067776,2,1.0986122886681096
coco-rem,000000068003,11,2.4849066497880004
coco-rem,000000068235,13,2.6390573296152584
coco-rem,000000068381,3,1.3862943611198906
coco-rem,000000068866,20,3.044522437723423
coco-rem,000000069311,10,2.3978952727983707
coco-rem,000000069587,7,2.0794415416798357
coco-rem,000000069978,8,2.197224577336219
coco-rem,000000070288,6,1.9459101490553132
coco-rem,000000070336,5,1.791759469228055
coco-rem,000000070724,3,1.3862943611198906
coco-rem,000000070829,3,1.3862943611198906
coco-rem,000000070863,5,1.791759469228055
coco-rem,000000071214,4,1.6094379124341003
coco-rem,000000072018,4,1.6094379124341003
coco-rem,000000073016,8,2.197224577336219
coco-rem,000000073626,187,5.236441962829949
coco-rem,000000073634,5,1.791759469228055
coco-rem,000000074060,3,1.3862943611198906
coco-rem,000000074127,19,2.995732273553991
coco-rem,000000074407,26,3.295836866004329
coco-rem,000000074901,60,4.110873864173311
coco-rem,000000075270,13,2.6390573296152584
coco-rem,000000075522,1,0.6931471805599453
coco-rem,000000075630,6,1.9459101490553132
coco-rem,000000075932,4,1.6094379124341003
coco-rem,000000075982,6,1.9459101490553132
coco-rem,000000076001,2,1.0986122886681096
coco-rem,000000079992,12,2.5649493574615367
coco-rem,000000080044,9,2.3025850929940455
coco-rem,000000080892,8,2.197224577336219
coco-rem,000000081200,21,3.0910424533583156
coco-rem,000000081315,6,1.9459101490553132
coco-rem,000000081826,6,1.9459101490553132
coco-rem,000000082275,10,2.3978952727983707
coco-rem,000000082787,8,2.197224577336219
coco-rem,000000082957,15,2.772588722239781
coco-rem,000000083045,3,1.3862943611198906
coco-rem,000000083507,1,0.6931471805599453
coco-rem,000000083716,6,1.9459101490553132
coco-rem,000000084454,52,3.9702919135521215
coco-rem,000000084840,4,1.6094379124341003
coco-rem,000000084881,1,0.6931471805599453
coco-rem,000000084996,13,2.6390573296152584
coco-rem,000000085187,20,3.044522437723423
coco-rem,000000085802,6,1.9459101490553132
coco-rem,000000085956,11,2.4849066497880004
coco-rem,000000086139,2,1.0986122886681096
coco-rem,000000086292,65,4.189654742026425
coco-rem,000000087105,7,2.0794415416798357
coco-rem,000000087249,30,3.4339872044851463
coco-rem,000000087509,11,2.4849066497880004
coco-rem,000000088162,21,3.0910424533583156
coco-rem,000000088540,25,3.2580965380214817
coco-rem,000000089725,81,4.406719247264253
coco-rem,000000090255,7,2.0794415416798357
coco-rem,000000090343,5,1.791759469228055
coco-rem,000000091366,2,1.0986122886681096
coco-rem,000000091948,19,2.995732273553991
coco-rem,000000091969,10,2.3978952727983707
coco-rem,000000092219,4,1.6094379124341003
coco-rem,000000092464,10,2.3978952727983707
coco-rem,000000092847,18,2.9444389791664403
coco-rem,000000093604,21,3.0910424533583156
coco-rem,000000094103,16,2.833213344056216
coco-rem,000000094920,21,3.0910424533583156
coco-rem,000000095422,25,3.2580965380214817
coco-rem,000000096070,2,1.0986122886681096
coco-rem,000000096582,9,2.3025850929940455
coco-rem,000000097021,5,1.791759469228055
coco-rem,000000097270,2,1.0986122886681096
coco-rem,000000097365,8,2.197224577336219
coco-rem,000000097696,5,1.791759469228055
coco-rem,000000097873,5,1.791759469228055
coco-rem,000000097951,12,2.5649493574615367
coco-rem,000000098904,10,2.3978952727983707
coco-rem,000000099389,2,1.0986122886681096
coco-rem,000000099443,4,1.6094379124341003
coco-rem,000000100519,24,3.2188758248682006
coco-rem,000000100560,4,1.6094379124341003
coco-rem,000000100827,48,3.8918202981106265
coco-rem,000000100959,8,2.197224577336219
coco-rem,000000101573,6,1.9459101490553132
coco-rem,000000102037,60,4.110873864173311
coco-rem,000000102056,9,2.3025850929940455
coco-rem,000000102330,4,1.6094379124341003
coco-rem,000000102634,2,1.0986122886681096
coco-rem,000000103697,2,1.0986122886681096
coco-rem,000000103746,14,2.70805020110221
coco-rem,000000103804,11,2.4849066497880004
coco-rem,000000103877,2,1.0986122886681096
coco-rem,000000104211,4,1.6094379124341003
coco-rem,000000104337,12,2.5649493574615367
coco-rem,000000104594,4,1.6094379124341003
coco-rem,000000104756,16,2.833213344056216
coco-rem,000000105027,3,1.3862943611198906
coco-rem,000000105468,3,1.3862943611198906
coco-rem,000000105768,56,4.04305126783455
coco-rem,000000106043,9,2.3025850929940455
coco-rem,000000106199,9,2.3025850929940455
coco-rem,000000106287,4,1.6094379124341003
coco-rem,000000106813,32,3.4965075614664802
coco-rem,000000106895,2,1.0986122886681096
coco-rem,000000107216,1,0.6931471805599453
coco-rem,000000107516,18,2.9444389791664403
coco-rem,000000107519,7,2.0794415416798357
coco-rem,000000107797,16,2.833213344056216
coco-rem,000000108392,141,4.955827057601261
coco-rem,000000108557,26,3.295836866004329
coco-rem,000000108701,30,3.4339872044851463
coco-rem,000000108803,16,2.833213344056216
coco-rem,000000108862,2,1.0986122886681096
coco-rem,000000109558,2,1.0986122886681096
coco-rem,000000110642,7,2.0794415416798357
coco-rem,000000110759,1,0.6931471805599453
coco-rem,000000110794,32,3.4965075614664802
coco-rem,000000111180,1,0.6931471805599453
coco-rem,000000111245,9,2.3025850929940455
coco-rem,000000111591,197,5.288267030694535
coco-rem,000000111824,1,0.6931471805599453
coco-rem,000000113556,170,5.141663556502659
coco-rem,000000113898,10,2.3978952727983707
coco-rem,000000113985,40,3.7135720667043075
coco-rem,000000114173,5,1.791759469228055
coco-rem,000000115973,3,1.3862943611198906
coco-rem,000000116031,2,1.0986122886681096
coco-rem,000000116155,33,3.526360524616161
coco-rem,000000116601,2,1.0986122886681096
coco-rem,000000116872,7,2.0794415416798357
coco-rem,000000117644,28,3.3672958299864737
coco-rem,000000118277,1,0.6931471805599453
coco-rem,000000118330,31,3.4657359027997265
coco-rem,000000118436,18,2.9444389791664403
coco-rem,000000118471,5,1.791759469228055
coco-rem,000000118477,9,2.3025850929940455
coco-rem,000000118748,1,0.6931471805599453
coco-rem,000000118775,1,0.6931471805599453
coco-rem,000000119414,5,1.791759469228055
coco-rem,000000119787,9,2.3025850929940455
coco-rem,000000120285,20,3.044522437723423
coco-rem,000000120380,7,2.0794415416798357
coco-rem,000000120509,2,1.0986122886681096
coco-rem,000000120524,4,1.6094379124341003
coco-rem,000000121112,8,2.197224577336219
coco-rem,000000121349,9,2.3025850929940455
coco-rem,000000121420,2,1.0986122886681096
coco-rem,000000121690,1,0.6931471805599453
coco-rem,000000121693,4,1.6094379124341003
coco-rem,000000121718,46,3.8501476017100584
coco-rem,000000122302,42,3.7612001156935624
coco-rem,000000122357,6,1.9459101490553132
coco-rem,000000122537,4,1.6094379124341003
coco-rem,000000123330,5,1.791759469228055
coco-rem,000000123901,12,2.5649493574615367
coco-rem,000000124002,3,1.3862943611198906
coco-rem,000000124390,2,1.0986122886681096
coco-rem,000000124627,30,3.4339872044851463
coco-rem,000000124924,4,1.6094379124341003
coco-rem,000000126229,34,3.5553480614894135
coco-rem,000000126230,17,2.8903717578961645
coco-rem,000000127153,11,2.4849066497880004
coco-rem,000000127235,10,2.3978952727983707
coco-rem,000000127259,18,2.9444389791664403
coco-rem,000000127558,14,2.70805020110221
coco-rem,000000127945,4,1.6094379124341003
coco-rem,000000128553,10,2.3978952727983707
coco-rem,000000129334,11,2.4849066497880004
coco-rem,000000129699,4,1.6094379124341003
coco-rem,000000130538,7,2.0794415416798357
coco-rem,000000131084,12,2.5649493574615367
coco-rem,000000131364,48,3.8918202981106265
coco-rem,000000131427,5,1.791759469228055
coco-rem,000000131494,6,1.9459101490553132
coco-rem,000000131825,10,2.3978952727983707
coco-rem,000000131902,18,2.9444389791664403
coco-rem,000000132067,8,2.197224577336219
coco-rem,000000132212,3,1.3862943611198906
coco-rem,000000132612,6,1.9459101490553132
coco-rem,000000132621,7,2.0794415416798357
coco-rem,000000133237,2,1.0986122886681096
coco-rem,000000133486,16,2.833213344056216
coco-rem,000000133609,4,1.6094379124341003
coco-rem,000000134697,2,1.0986122886681096
coco-rem,000000135797,14,2.70805020110221
coco-rem,000000136415,26,3.295836866004329
coco-rem,000000136493,3,1.3862943611198906
coco-rem,000000136683,27,3.332204510175204
coco-rem,000000137301,14,2.70805020110221
coco-rem,000000137666,18,2.9444389791664403
coco-rem,000000140352,13,2.6390573296152584
coco-rem,000000140473,2,1.0986122886681096
coco-rem,000000140507,3,1.3862943611198906
coco-rem,000000141587,16,2.833213344056216
coco-rem,000000141862,4,1.6094379124341003
coco-rem,000000142680,3,1.3862943611198906
coco-rem,000000143054,2,1.0986122886681096
coco-rem,000000143445,22,3.1354942159291497
coco-rem,000000143578,4,1.6094379124341003
coco-rem,000000143929,14,2.70805020110221
coco-rem,000000144372,9,2.3025850929940455
coco-rem,000000144935,43,3.784189633918261
coco-rem,000000144983,2,1.0986122886681096
coco-rem,000000145163,11,2.4849066497880004
coco-rem,000000145211,15,2.772588722239781
coco-rem,000000145488,6,1.9459101490553132
coco-rem,000000145699,2,1.0986122886681096
coco-rem,000000147591,61,4.127134385045092
coco-rem,000000147753,20,3.044522437723423
coco-rem,000000148409,6,1.9459101490553132
coco-rem,000000149123,4,1.6094379124341003
coco-rem,000000149364,6,1.9459101490553132
coco-rem,000000149566,6,1.9459101490553132
coco-rem,000000150212,1,0.6931471805599453
coco-rem,000000150372,5,1.791759469228055
coco-rem,000000150444,25,3.2580965380214817
coco-rem,000000150717,7,2.0794415416798357
coco-rem,000000151375,8,2.197224577336219
coco-rem,000000151492,4,1.6094379124341003
coco-rem,000000151577,18,2.9444389791664403
coco-rem,000000151892,11,2.4849066497880004
coco-rem,000000152633,5,1.791759469228055
coco-rem,000000153136,2,1.0986122886681096
coco-rem,000000153734,33,3.526360524616161
coco-rem,000000154301,20,3.044522437723423
coco-rem,000000154713,6,1.9459101490553132
coco-rem,000000154727,4,1.6094379124341003
coco-rem,000000155270,42,3.7612001156935624
coco-rem,000000155285,6,1.9459101490553132
coco-rem,000000155386,4,1.6094379124341003
coco-rem,000000155496,10,2.3978952727983707
coco-rem,000000155861,13,2.6390573296152584
coco-rem,000000156100,5,1.791759469228055
coco-rem,000000156284,3,1.3862943611198906
coco-rem,000000157519,6,1.9459101490553132
coco-rem,000000157804,22,3.1354942159291497
coco-rem,000000157938,5,1.791759469228055
coco-rem,000000157960,12,2.5649493574615367
coco-rem,000000158718,13,2.6390573296152584
coco-rem,000000158887,15,2.772588722239781
coco-rem,000000158922,7,2.0794415416798357
coco-rem,000000159582,10,2.3978952727983707
coco-rem,000000160101,10,2.3978952727983707
coco-rem,000000160139,1,0.6931471805599453
coco-rem,000000160815,23,3.1780538303479453
coco-rem,000000160866,14,2.70805020110221
coco-rem,000000160967,24,3.2188758248682006
coco-rem,000000161060,11,2.4849066497880004
coco-rem,000000161543,2,1.0986122886681096
coco-rem,000000161603,13,2.6390573296152584
coco-rem,000000161738,140,4.948759890378168
coco-rem,000000161897,11,2.4849066497880004
coco-rem,000000162887,7,2.0794415416798357
coco-rem,000000163138,16,2.833213344056216
coco-rem,000000163759,2,1.0986122886681096
coco-rem,000000163985,4,1.6094379124341003
coco-rem,000000164224,11,2.4849066497880004
coco-rem,000000164330,23,3.1780538303479453
coco-rem,000000164499,10,2.3978952727983707
coco-rem,000000165455,10,2.3978952727983707
coco-rem,000000165550,3,1.3862943611198906
coco-rem,000000165750,8,2.197224577336219
coco-rem,000000165936,13,2.6390573296152584
coco-rem,000000166828,7,2.0794415416798357
coco-rem,000000169228,4,1.6094379124341003
coco-rem,000000169634,2,1.0986122886681096
coco-rem,000000169885,8,2.197224577336219
coco-rem,000000170000,8,2.197224577336219
coco-rem,000000170513,24,3.2188758248682006
coco-rem,000000170601,3,1.3862943611198906
coco-rem,000000171453,16,2.833213344056216
coco-rem,000000171536,24,3.2188758248682006
coco-rem,000000172439,76,4.343805421853684
coco-rem,000000172492,5,1.791759469228055
coco-rem,000000172886,12,2.5649493574615367
coco-rem,000000172989,3,1.3862943611198906
coco-rem,000000173229,2,1.0986122886681096
coco-rem,000000173447,5,1.791759469228055
coco-rem,000000175334,2,1.0986122886681096
coco-rem,000000175437,12,2.5649493574615367
coco-rem,000000175513,4,1.6094379124341003
coco-rem,000000175830,13,2.6390573296152584
coco-rem,000000176298,8,2.197224577336219
coco-rem,000000177323,2,1.0986122886681096
coco-rem,000000178258,53,3.988984046564274
coco-rem,000000178566,26,3.295836866004329
coco-rem,000000178901,42,3.7612001156935624
coco-rem,000000179011,3,1.3862943611198906
coco-rem,000000179477,5,1.791759469228055
coco-rem,000000179571,17,2.8903717578961645
coco-rem,000000180341,65,4.189654742026425
coco-rem,000000180779,7,2.0794415416798357
coco-rem,000000180966,2,1.0986122886681096
coco-rem,000000181084,27,3.332204510175204
coco-rem,000000181223,27,3.332204510175204
coco-rem,000000181851,18,2.9444389791664403
coco-rem,000000181876,13,2.6390573296152584
coco-rem,000000182401,1,0.6931471805599453
coco-rem,000000182527,5,1.791759469228055
coco-rem,000000183007,4,1.6094379124341003
coco-rem,000000183445,5,1.791759469228055
coco-rem,000000184161,1,0.6931471805599453
coco-rem,000000184320,12,2.5649493574615367
coco-rem,000000184431,9,2.3025850929940455
coco-rem,000000184889,9,2.3025850929940455
coco-rem,000000185002,11,2.4849066497880004
coco-rem,000000185025,10,2.3978952727983707
coco-rem,000000185041,12,2.5649493574615367
coco-rem,000000185091,1,0.6931471805599453
coco-rem,000000185229,12,2.5649493574615367
coco-rem,000000185555,16,2.833213344056216
coco-rem,000000186844,2,1.0986122886681096
coco-rem,000000186968,8,2.197224577336219
coco-rem,000000187181,30,3.4339872044851463
coco-rem,000000187286,10,2.3978952727983707
coco-rem,000000187822,38,3.6635616461296463
coco-rem,000000188068,1,0.6931471805599453
coco-rem,000000188532,15,2.772588722239781
coco-rem,000000189129,8,2.197224577336219
coco-rem,000000190277,11,2.4849066497880004
coco-rem,000000190537,1,0.6931471805599453
coco-rem,000000190700,2,1.0986122886681096
coco-rem,000000190722,9,2.3025850929940455
coco-rem,000000191225,18,2.9444389791664403
coco-rem,000000191280,27,3.332204510175204
coco-rem,000000191283,9,2.3025850929940455
coco-rem,000000191327,6,1.9459101490553132
coco-rem,000000191690,18,2.9444389791664403
coco-rem,000000191716,8,2.197224577336219
coco-rem,000000193255,2,1.0986122886681096
coco-rem,000000193444,2,1.0986122886681096
coco-rem,000000193972,5,1.791759469228055
coco-rem,000000194774,15,2.772588722239781
coco-rem,000000194921,3,1.3862943611198906
coco-rem,000000197616,5,1.791759469228055
coco-rem,000000198312,31,3.4657359027997265
coco-rem,000000198508,60,4.110873864173311
coco-rem,000000198557,8,2.197224577336219
coco-rem,000000198596,28,3.3672958299864737
coco-rem,000000198724,2,1.0986122886681096
coco-rem,000000198978,12,2.5649493574615367
coco-rem,000000199688,23,3.1780538303479453
coco-rem,000000200735,15,2.772588722239781
coco-rem,000000201375,2,1.0986122886681096
coco-rem,000000202131,13,2.6390573296152584
coco-rem,000000202372,45,3.828641396489095
coco-rem,000000202582,12,2.5649493574615367
coco-rem,000000202842,8,2.197224577336219
coco-rem,000000202918,4,1.6094379124341003
coco-rem,000000202990,18,2.9444389791664403
coco-rem,000000203481,10,2.3978952727983707
coco-rem,000000205344,20,3.044522437723423
coco-rem,000000205967,16,2.833213344056216
coco-rem,000000206068,38,3.6635616461296463
coco-rem,000000206800,2,1.0986122886681096
coco-rem,000000207264,13,2.6390573296152584
coco-rem,000000207740,7,2.0794415416798357
coco-rem,000000207763,20,3.044522437723423
coco-rem,000000207805,8,2.197224577336219
coco-rem,000000207995,3,1.3862943611198906
coco-rem,000000208144,4,1.6094379124341003
coco-rem,000000208288,48,3.8918202981106265
coco-rem,000000209133,2,1.0986122886681096
coco-rem,000000209286,1,0.6931471805599453
coco-rem,000000209292,8,2.197224577336219
coco-rem,000000209428,3,1.3862943611198906
coco-rem,000000209574,30,3.4339872044851463
coco-rem,000000209904,36,3.6109179126442243
coco-rem,000000210322,7,2.0794415416798357
coco-rem,000000210549,3,1.3862943611198906
coco-rem,000000210845,68,4.23410650459726
coco-rem,000000210997,5,1.791759469228055
coco-rem,000000211158,3,1.3862943611198906
coco-rem,000000211172,7,2.0794415416798357
coco-rem,000000211186,20,3.044522437723423
coco-rem,000000211217,120,4.795790545596741
coco-rem,000000211593,26,3.295836866004329
coco-rem,000000211722,3,1.3862943611198906
coco-rem,000000212733,2,1.0986122886681096
coco-rem,000000212757,15,2.772588722239781
coco-rem,000000213268,17,2.8903717578961645
coco-rem,000000213694,2,1.0986122886681096
coco-rem,000000214742,4,1.6094379124341003
coco-rem,000000214834,11,2.4849066497880004
coco-rem,000000215092,20,3.044522437723423
coco-rem,000000215196,2,1.0986122886681096
coco-rem,000000215215,1,0.6931471805599453
coco-rem,000000215376,9,2.3025850929940455
coco-rem,000000215407,19,2.995732273553991
coco-rem,000000216364,6,1.9459101490553132
coco-rem,000000217054,2,1.0986122886681096
coco-rem,000000217303,10,2.3978952727983707
coco-rem,000000217487,48,3.8918202981106265
coco-rem,000000217938,15,2.772588722239781
coco-rem,000000218762,2,1.0986122886681096
coco-rem,000000219179,4,1.6094379124341003
coco-rem,000000220187,10,2.3978952727983707
coco-rem,000000221044,15,2.772588722239781
coco-rem,000000221317,7,2.0794415416798357
coco-rem,000000221536,4,1.6094379124341003
coco-rem,000000222753,16,2.833213344056216
coco-rem,000000223020,38,3.6635616461296463
coco-rem,000000223481,10,2.3978952727983707
coco-rem,000000223992,20,3.044522437723423
coco-rem,000000224595,10,2.3978952727983707
coco-rem,000000225281,11,2.4849066497880004
coco-rem,000000225490,5,1.791759469228055
coco-rem,000000225989,42,3.7612001156935624
coco-rem,000000226136,3,1.3862943611198906
coco-rem,000000226324,2,1.0986122886681096
coco-rem,000000226494,1,0.6931471805599453
coco-rem,000000227134,1,0.6931471805599453
coco-rem,000000227422,2,1.0986122886681096
coco-rem,000000227734,30,3.4339872044851463
coco-rem,000000228261,50,3.9318256327243257
coco-rem,000000228463,4,1.6094379124341003
coco-rem,000000228681,16,2.833213344056216
coco-rem,000000229529,2,1.0986122886681096
coco-rem,000000229539,12,2.5649493574615367
coco-rem,000000230057,4,1.6094379124341003
coco-rem,000000230548,3,1.3862943611198906
coco-rem,000000230554,41,3.737669618283368
coco-rem,000000230991,12,2.5649493574615367
coco-rem,000000231267,6,1.9459101490553132
coco-rem,000000231362,1,0.6931471805599453
coco-rem,000000231460,18,2.9444389791664403
coco-rem,000000231466,4,1.6094379124341003
coco-rem,000000232001,11,2.4849066497880004
coco-rem,000000232279,23,3.1780538303479453
coco-rem,000000232819,3,1.3862943611198906
coco-rem,000000233365,6,1.9459101490553132
coco-rem,000000233994,22,3.1354942159291497
coco-rem,000000234091,9,2.3025850929940455
coco-rem,000000234728,10,2.3978952727983707
coco-rem,000000235547,3,1.3862943611198906
coco-rem,000000235683,86,4.465908118654584
coco-rem,000000236176,50,3.9318256327243257
coco-rem,000000236282,35,3.58351893845611
coco-rem,000000236630,5,1.791759469228055
coco-rem,000000237203,2,1.0986122886681096
coco-rem,000000237372,5,1.791759469228055
coco-rem,000000237632,13,2.6390573296152584
coco-rem,000000238448,5,1.791759469228055
coco-rem,000000238858,20,3.044522437723423
coco-rem,000000239458,1,0.6931471805599453
coco-rem,000000240243,3,1.3862943611198906
coco-rem,000000240586,4,1.6094379124341003
coco-rem,000000240952,16,2.833213344056216
coco-rem,000000241390,6,1.9459101490553132
coco-rem,000000241402,19,2.995732273553991
coco-rem,000000241836,4,1.6094379124341003
coco-rem,000000241916,1,0.6931471805599453
coco-rem,000000242745,8,2.197224577336219
coco-rem,000000242828,2,1.0986122886681096
coco-rem,000000243153,16,2.833213344056216
coco-rem,000000243171,3,1.3862943611198906
coco-rem,000000244283,16,2.833213344056216
coco-rem,000000244317,3,1.3862943611198906
coco-rem,000000244844,53,3.988984046564274
coco-rem,000000245505,3,1.3862943611198906
coco-rem,000000246007,6,1.9459101490553132
coco-rem,000000246014,100,4.61512051684126
coco-rem,000000246342,15,2.772588722239781
coco-rem,000000246540,7,2.0794415416798357
coco-rem,000000246656,2,1.0986122886681096
coco-rem,000000246815,37,3.6375861597263857
coco-rem,000000247909,8,2.197224577336219
coco-rem,000000247945,47,3.8712010109078907
coco-rem,000000248167,24,3.2188758248682006
coco-rem,000000248771,9,2.3025850929940455
coco-rem,000000249226,34,3.5553480614894135
coco-rem,000000249273,4,1.6094379124341003
coco-rem,000000250194,26,3.295836866004329
coco-rem,000000250578,6,1.9459101490553132
coco-rem,000000250790,11,2.4849066497880004
