image_id,value
000000145211,15
000000144372,9
000000145699,2
000000145163,11
000000147591,61
000000148409,6
000000144935,43
000000149123,4
000000149364,6
000000150212,1
000000147753,20
000000145488,6
000000149566,6
000000150717,7
000000151492,4
000000150372,5
000000150444,25
000000151375,8
000000153136,2
000000151892,11
000000152633,5
000000151577,18
000000153734,33
000000154301,20
000000154727,4
000000154713,6
000000155386,4
000000155496,10
000000155270,42
000000155285,6
000000156284,3
000000156100,5
000000157938,5
000000157804,22
000000157519,6
000000155861,13
000000158718,13
000000157960,12
000000158922,7
000000160139,1
000000158887,15
000000159582,10
000000160101,10
000000160967,24
000000161543,2
000000161060,11
000000160815,23
000000160866,14
000000162887,7
000000161897,11
000000161603,13
000000163759,2
000000161738,140
000000164224,11
000000164330,23
000000163138,16
000000165455,10
000000163985,4
000000165750,8
000000165936,13
000000169228,4
000000169634,2
000000164499,10
000000169885,8
000000165550,3
000000170601,3
000000166828,7
000000170513,24
000000171453,16
000000172492,5
000000170000,8
000000171536,24
000000173229,2
000000172989,3
000000175334,2
000000172439,76
000000173447,5
000000175513,4
000000175437,12
000000176298,8
000000177323,2
000000172886,12
000000175830,13
000000178566,26
000000179011,3
000000179477,5
000000178258,53
000000180779,7
000000178901,42
000000180341,65
000000180966,2
000000179571,17
000000181084,27
000000182401,1
000000181851,18
000000181223,27
000000183007,4
000000181876,13
000000184161,1
000000182527,5
000000184431,9
000000184889,9
000000185025,10
000000183445,5
000000184320,12
000000185091,1
000000185041,12
000000185002,11
000000185555,16
000000186844,2
000000185229,12
000000187286,10
000000187181,30
000000188068,1
000000187822,38
000000186968,8
000000190537,1
000000189129,8
000000190700,2
000000188532,15
000000190277,11
000000191283,9
000000191225,18
000000190722,9
000000191716,8
000000191280,27
000000193255,2
000000193444,2
000000193972,5
000000194921,3
000000194774,15
000000191690,18
000000191327,6
000000198557,8
000000197616,5
000000198724,2
000000198508,60
000000198312,31
000000198978,12
000000198596,28
000000201375,2
000000199688,23
000000200735,15
000000202582,12
000000202131,13
000000202372,45
000000202842,8
000000203481,10
000000205344,20
000000202918,4
000000206800,2
000000207264,13
000000202990,18
000000207763,20
000000205967,16
000000207805,8
000000206068,38
000000208144,4
000000209133,2
000000209286,1
000000207740,7
000000207995,3
000000209428,3
000000208288,48
000000210322,7
000000209904,36
000000209292,8
000000210549,3
000000211158,3
000000209574,30
000000211172,7
000000210845,68
000000210997,5
000000211186,20
000000212733,2
000000211593,26
000000211217,120
000000213694,2
000000212757,15
000000213268,17
000000214834,11
000000215196,2
000000211722,3
000000215215,1
000000214742,4
000000215092,20
000000217054,2
000000215376,9
000000215407,19
000000216364,6
000000217303,10
000000219179,4
000000218762,2
000000217487,48
000000217938,15
000000221317,7
000000220187,10
000000222753,16
000000221536,4
000000221044,15
000000223481,10
000000223992,20
000000225281,11
000000223020,38
000000224595,10
000000226136,3
000000226494,1
000000225989,42
000000227134,1
000000227422,2
000000225490,5
000000226324,2
000000228463,4
000000229529,2
000000228681,16
000000230057,4
000000227734,30
000000229539,12
000000228261,50
000000230548,3
000000231362,1
000000230554,41
000000231466,4
000000230991,12
000000231267,6
000000232819,3
000000232001,11
000000233365,6
000000232279,23
000000231460,18
000000234728,10
000000235547,3
000000234091,9
000000233994,22
000000236176,50
000000235683,86
000000237203,2
000000236282,35
000000237372,5
000000238448,5
000000239458,1
000000240243,3
000000238858,20
000000240586,4
000000241390,6
000000237632,13
000000241836,4
000000241402,19
000000240952,16
000000236630,5
000000241916,1
000000243171,3
000000242828,2
000000242745,8
000000243153,16
000000244283,16
000000245505,3
000000244317,3
000000244844,53
000000246007,6
000000246656,2
000000246014,100
000000246815,37
000000246342,15
000000246540,7
000000247909,8
000000248771,9
000000249226,34
000000247945,47
000000250578,6
000000248167,24
000000249273,4
000000250194,26
000000251232,1
000000250877,21
000000250790,11
000000251242,18
000000253095,22
000000253170,6
000000252608,14
000000253693,5
000000255665,10
000000253474,55
000000256031,2
000000253212,15
000000255741,3
000000256101,2
000000255093,55
000000256648,5
000000256550,3
000000256284,4
000000258136,1
000000258089,8
000000258017,13
000000258792,4
000000258676,4
000000258837,24
000000258327,17
000000259491,4
000000261026,20
000000260230,40
000000259884,15
000000260129,11
000000262359,35
000000261585,23
000000264502,3
000000264930,5
000000264962,4
000000264619,7
000000263668,11
000000266442,2
000000263008,9
000000265253,17
000000265677,50
000000267284,21
000000266518,2
000000268579,2
000000266533,13
000000267152,17
000000267691,16
000000269033,3
000000268739,18
000000269306,9
000000268927,4
000000269168,3
000000270330,2
000000269325,4
000000270586,7
000000271364,2
000000271310,41
000000269843,14
000000271490,10
000000269346,100
000000271461,15
000000271495,21
000000271943,1
000000272487,1
000000273600,2
000000274753,12
000000271897,12
000000273808,48
000000275631,12
000000275450,11
000000276169,2
000000275930,12
000000279373,16
000000277089,20
000000281210,1
000000275657,10
000000280087,2
000000281679,31
000000280814,44
000000284333,1
000000284324,1
000000281431,5
000000284366,3
000000285457,3
000000283874,46
000000286348,2
000000285603,35
000000284386,2
000000287235,5
000000288114,5
000000287228,1
000000286450,6
000000288219,3
000000286760,12
000000288724,12
000000288906,50
000000289245,15
000000290379,18
000000291788,1
000000290400,1
000000289510,52
000000292227,2
000000290282,10
000000292901,2
000000292257,10
000000293946,2
000000291898,10
000000293072,12
000000293165,21
000000294943,12
000000295269,24
000000297175,3
000000297220,6
000000295655,13
000000295334,12
000000298004,3
000000295823,14
000000297370,12
000000297273,74
000000298067,9
000000298225,3
000000299764,7
000000298540,17
000000298405,9
000000300782,6
000000298657,8
000000300501,10
000000301950,6
000000301110,36
000000300786,85
000000301965,15
000000301977,113
000000303520,21
000000304523,12
000000302489,31
000000304789,13
000000305501,7
000000306947,2
000000304530,30
000000307583,1
000000305093,8
000000306178,7
000000307272,11
000000310553,5
000000310538,52
000000307757,8
000000310390,9
000000310633,7
000000313872,2
000000314082,5
000000310772,12
000000314693,2
000000315062,10
000000310906,9
000000315487,3
000000315868,3
000000314188,3
000000317935,2
000000317130,5
000000313465,16
000000318240,7
000000318200,32
000000318386,4
000000319142,2
000000317595,13
000000319591,7
000000319494,3
000000320137,19
000000319690,13
000000320374,10
000000318637,16
000000322094,5
000000323599,4
000000322222,4
000000319031,7
000000321935,8
000000323827,57
000000324962,3
000000324497,3
000000325328,7
000000324052,100
000000326408,23
000000325220,58
000000326531,8
000000326811,2
000000326700,5
000000325371,3
000000325836,24
000000327368,4
000000328346,10
000000329097,3
000000329304,5
000000327532,8
000000328066,6
000000328412,10
000000329752,10
000000329343,37
000000330701,3
000000329613,14
000000331395,20
000000330140,12
000000331162,32
000000332943,2
000000332420,9
000000334752,13
000000333124,1
000000335874,1
000000333654,200
000000334840,10
000000337146,48
000000338018,6
000000336167,23
000000338121,4
000000338156,1
000000334916,24
000000338980,1
000000339105,4
000000335940,5
000000338972,2
000000339536,38
000000338086,13
000000340488,20
000000341111,3
000000340060,14
000000341189,2
000000340804,5
000000340217,2
000000342874,9
000000342996,19
000000341232,32
000000343349,40
000000343619,2
000000344920,12
000000342639,8
000000346469,3
000000344190,2
000000347292,5
000000347976,5
000000346702,3
000000345880,12
000000346997,10
000000348144,3
000000348602,2
000000349230,7
000000348371,8
000000348314,10
000000349344,10
000000348702,20
000000350514,10
000000351554,2
000000351621,2
000000351148,8
000000349485,100
000000352091,27
000000352524,4
000000351268,7
000000351808,26
000000352965,7
000000353981,7
000000352480,6
000000354070,18
000000354827,18
000000354402,2
000000355214,9
000000355425,17
000000356153,5
000000356733,4
000000355304,24
000000355685,23
000000355737,31
000000358421,4
000000357498,20
000000357805,4
000000358795,5
000000358429,15
000000357966,4
000000361030,2
000000359357,20
000000359131,2
000000359232,60
000000361670,42
000000363344,4
000000361572,91
000000364010,2
000000362314,48
000000364299,6
000000362373,29
000000364683,2
000000365131,3
000000365205,2
000000363986,87
000000365353,2
000000364079,4
000000365444,3
000000365652,8
000000365479,13
000000366651,2
000000364436,9
000000367639,2
000000368081,2
000000365271,8
000000366789,24
000000368541,30
000000369140,5
000000366648,138
000000370310,1
000000368727,16
000000369296,34
000000372464,2
000000372536,3
000000371791,45
000000372625,1
000000370121,2
000000373758,19
000000370831,21
000000372548,9
000000373648,13
000000375425,36
000000374829,41
000000375321,19
000000377155,2
000000376490,2
000000378618,8
000000378692,1
000000378872,3
000000376911,5
000000379188,5
000000377432,4
000000377910,13
000000379760,2
000000380122,3
000000379067,12
000000379672,9
000000381334,13
000000379630,23
000000380271,13
000000382563,5
000000382345,16
000000382729,3
000000380828,47
000000383210,6
000000382101,6
000000382715,25
000000384422,5
000000383389,6
000000384967,44
000000383972,8
000000384641,11
000000385272,9
000000385705,3
000000384998,26
000000385098,50
000000386589,2
000000386945,3
000000385577,6
000000388880,1
000000389036,2
000000389159,11
000000385770,9
000000390179,3
000000386371,10
000000390183,3
000000387421,14
000000390782,8
000000392320,50
000000392099,6
000000392985,3
000000393493,6
000000392753,4
000000393317,16
000000392871,6
000000393617,10
000000393735,2
000000395749,5
000000395321,5
000000395527,16
000000393887,2
000000396420,23
000000397241,2
000000397365,6
000000396862,14
000000396481,2
000000397685,3
000000398463,2
000000396661,91
000000398209,8
000000399540,14
000000400567,21
000000398419,10
000000401251,2
000000401398,3
000000400596,11
000000401499,5
000000399288,11
000000400975,1
000000401785,100
000000402378,2
000000401416,4
000000402806,2
000000402420,13
000000403143,4
000000403150,6
000000403830,6
000000402855,6
000000402759,36
000000402671,5
000000404471,2
000000404579,14
000000404222,2
000000404929,1
000000405271,7
000000406908,6
000000403853,2
000000404271,8
000000409239,4
000000409364,12
000000407990,1
000000409707,4
000000409956,23
000000411343,4
000000410590,20
000000412914,3
000000405605,13
000000410373,8
000000413600,12
000000413626,34
000000415856,5
000000416048,6
000000416202,4
000000412510,3
000000416188,7
000000417440,3
000000413970,21
000000416705,9
000000418297,2
000000417219,9
000000418653,5
000000419216,37
000000417766,12
000000418692,13
000000419483,77
000000419819,3
000000420411,2
000000419767,15
000000421360,23
000000422279,9
000000420490,15
000000423161,34
000000421889,8
000000423717,3
000000423534,6
000000423165,12
000000424370,1
000000424544,8
000000425000,9
000000424989,4
000000424554,1
000000426064,4
000000424637,16
000000426128,8
000000426252,12
000000426551,13
000000426975,22
000000426377,60
000000427232,68
000000427958,6
000000428079,4
000000427449,6
000000427802,46
000000427382,7
000000428263,15
000000428786,1
000000428391,14
000000428152,20
000000428440,9
000000430319,4
000000430281,6
000000430489,5
000000429741,30
000000430583,3
000000429990,7
000000432120,2
000000431660,17
000000430660,34
000000432615,2
000000432417,13
000000431853,30
000000432796,15
000000433968,4
000000432569,3
000000432997,33
000000433446,11
000000434326,3
000000435076,66
000000435377,19
000000436571,5
000000435750,3
000000436611,1
000000437209,5
000000436605,4
000000436511,10
000000438617,3
000000439288,2
000000439486,2
000000435764,11
000000439874,2
000000439837,18
000000438539,4
000000440387,15
000000437892,9
000000440891,29
000000440329,29
000000441824,3
000000441473,15
000000442232,9
000000443964,4
000000445087,5
000000443635,53
000000445745,7
000000442811,13
000000446500,10
000000447224,6
000000447983,2
000000446354,41
000000446670,9
000000448759,7
000000449598,6
000000447448,26
000000449712,21
000000448944,7
000000450724,3
000000448826,33
000000452783,3
000000450543,2
000000450800,12
000000454867,11
000000450107,5
000000453352,3
000000455548,7
000000456833,9
000000458156,1
000000458361,6
000000455481,14
000000455363,2
000000457168,29
000000458870,1
000000458611,9
000000458935,19
000000458401,10
000000458802,6
000000460038,1
000000459585,2
000000460496,10
000000460858,2
000000459537,2
000000460370,14
000000462565,19
000000459566,2
000000464296,7
000000463452,6
000000463581,4
000000461365,6
000000466197,6
000000464602,5
000000466599,17
000000467686,6
000000467432,14
000000467145,39
000000469195,2
000000467939,10
000000466665,12
000000469300,22
000000468346,13
000000469896,4
000000470004,15
000000470770,16
000000470112,10
000000471039,13
000000470442,6
000000471330,6
000000470516,3
000000471895,10
000000472253,36
000000472630,3
000000472405,119
000000472054,30
000000474953,6
000000472690,20
000000474031,22
000000472614,12
000000475403,42
000000475808,20
000000477622,6
000000475621,13
000000477718,8
000000476080,32
000000477259,42
000000478805,19
000000478922,7
000000478005,140
000000478380,83
000000480014,14
000000480576,18
000000482122,14
000000480057,100
000000483047,3
000000483941,1
000000483923,2
000000485142,2
000000482984,9
000000484579,16
000000483611,6
000000486503,2
000000485447,14
000000485946,4
000000487970,2
000000488731,2
000000486571,7
000000487612,15
000000488796,1
000000486513,25
000000489900,16
000000490244,14
000000491211,3
000000490461,27
000000491681,2
000000490044,29
000000491872,3
000000490405,9
000000491384,116
000000492817,3
000000492215,6
000000493707,4
000000491831,62
000000493760,12
000000493840,4
000000492183,12
000000495356,4
000000493294,13
000000496097,15
000000495692,9
000000496339,2
000000496687,4
000000496313,9
000000496430,4
000000497873,21
000000497273,30
000000496274,5
000000498915,12
000000498436,13
000000499168,3
000000499274,4
000000498022,28
000000499627,2
000000501054,3
000000498988,7
000000498371,4
000000500071,3
000000502712,8
000000502197,22
000000503860,4
000000504769,3
000000502978,5
000000502126,27
000000505919,3
000000506371,4
000000503569,13
000000506388,1
000000507263,5
000000508004,2
000000505188,12
000000508430,5
000000507871,5
000000505520,5
000000508087,50
000000511774,7
000000511929,2
000000509811,43
000000512380,5
000000511639,33
000000511026,48
000000512845,6
000000512436,10
000000513574,23
000000512864,9
000000513946,4
000000513434,9
000000514321,2
000000515392,3
000000513690,10
000000514016,5
000000516088,3
000000515837,5
000000517032,2
000000517748,8
000000518027,3
000000513899,13
000000518858,71
000000516782,15
000000519035,2
000000517007,4
000000518889,6
000000519707,18
000000518932,14
000000519076,6
000000521533,3
000000521232,38
000000521306,9
000000521652,11
000000521752,19
000000522452,6
000000522061,5
000000521620,6
000000524059,3
000000523754,12
000000524956,24
000000522930,9
000000525813,5
000000525880,3
000000523468,84
000000526227,12
000000525087,25
000000525615,10
000000527518,4
000000527906,8
000000526432,23
000000528341,9
000000527219,8
000000526085,12
000000529061,1
000000530160,2
000000528957,20
000000527994,13
000000529787,2
000000530313,16
000000530384,30
000000530863,1
000000530758,11
000000530599,14
000000530631,8
000000533137,3
000000532245,31
000000532817,59
000000532260,37
000000535013,3
000000533677,8
000000536200,6
000000534736,41
000000536366,1
000000535151,4
000000535179,5
000000536605,4
000000536237,15
000000538187,19
000000536949,21
000000537248,8
000000537337,12
000000540068,3
000000539793,14
000000541783,3
000000540342,15
000000541493,8
000000541999,18
000000542325,9
000000542472,13
000000543166,11
000000543836,5
000000545181,3
000000545022,25
000000545293,4
000000544329,6
000000546352,2
000000546159,4
000000546480,3
000000544615,32
000000549224,3
000000546147,9
000000547644,3
000000550056,5
000000546952,16
000000549797,5
000000549410,6
000000550477,6
000000550643,16
000000550392,9
000000550842,5
000000551515,1
000000552159,18
000000552336,4
000000552222,3
000000550597,10
000000554587,15
000000554106,17
000000555847,7
000000551170,1
000000557065,6
000000557811,11
000000554643,10
000000557812,4
000000555101,10
000000557922,8
000000556360,11
000000559039,14
000000560123,8
000000559463,43
000000557985,12
000000560158,40
000000560511,9
000000561047,14
000000560254,4
000000560976,9
000000561589,16
000000563809,23
000000562008,9
000000563258,12
000000564803,13
000000563301,22
000000565070,6
000000565625,3
000000565245,21
000000566927,11
000000567495,1
000000564936,14
000000568137,7
000000565405,18
000000567764,9
000000566668,34
000000568155,7
000000568256,3
000000568459,12
000000570023,5
000000568396,4
000000569437,35
000000571185,14
000000569769,18
000000570268,4
000000572572,2
000000572786,5
000000572016,5
000000570963,12
000000574208,3
000000574135,7
000000574537,3
000000574623,2
000000575909,1
000000573357,16
000000573622,5
000000576709,1
000000575361,35
000000578060,2
000000576397,18
000000579463,2
000000576857,33
000000577843,21
000000579303,5
000000581766,3
000000580975,7
000000579548,11
000000579909,15
